WK,Game Date,Comp,Att,Pct,Yds,Avg,TD,Int,Sck,SckY,Rate,Att,Yds,Avg,TD,FUM,Lost
1,09/10/17,21,30,70,321,10.7,1,0,2,13,116.1,3,11,3.7,0,--,--
,,,,,,,,,,,,,,,,,
2,09/17/17,19,28,67.9,252,9,1,0,3,29,108,1,8,8,0,--,--
,,,,,,,,,,,,,,,,,
3,09/24/17,24,35,68.6,294,8.4,2,3,2,17,77.6,1,-1,-1,0,--,--
,,,,,,,,,,,,,,,,,
4,10/01/17,24,42,57.1,242,5.8,1,2,1,0,61.8,1,8,8,0,1,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,10/15/17,24,35,68.6,248,7.1,1,1,2,9,86.4,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,
7,10/22/17,23,33,69.7,233,7.1,1,0,1,10,99.7,3,37,12.3,0,--,--
,,,,,,,,,,,,,,,,,
8,10/29/17,18,29,62.1,254,8.8,2,0,1,8,113.3,6,17,2.8,0,3,2
,,,,,,,,,,,,,,,,,
9,11/05/17,24,38,63.2,313,8.2,2,1,2,11,95.6,1,-1,-1,0,--,--
,,,,,,,,,,,,,,,,,
10,11/12/17,22,29,75.9,215,7.4,2,1,1,11,104.8,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,
11,11/20/17,19,27,70.4,195,7.2,2,0,1,5,115.5,3,12,4,0,--,--
,,,,,,,,,,,,,,,,,
12,11/26/17,26,35,74.3,317,9.1,1,0,0,0,111.2,1,1,1,0,--,--
,,,,,,,,,,,,,,,,,
13,12/03/17,16,29,55.2,173,6,0,0,0,0,72.9,1,1,1,0,--,--
,,,,,,,,,,,,,,,,,
14,12/07/17,15,27,55.6,221,8.2,1,3,1,10,55.2,3,0,0,0,--,--
,,,,,,,,,,,,,,,,,
15,12/18/17,17,31,54.8,212,6.8,1,0,1,3,87,3,29,9.7,0,--,--
,,,,,,,,,,,,,,,,,
16,12/24/17,22,36,61.1,288,8,1,1,5,24,84,2,7,3.5,0,--,--
,,,,,,,,,,,,,,,,,
17,12/31/17,28,45,62.2,317,7,1,0,1,6,90.7,3,14,4.7,0,--,--
